,ITI,onset,trial_type
0,0.0,0.0,0
1,6.0,7.0,0
2,3.1,11.1,0
3,2.9000000000000004,15.0,0
4,2.0,18.0,0
5,1.7000000000000002,20.7,0
6,3.7,25.4,1
7,1.5,27.9,1
8,2.7,31.6,1
9,5.300000000000001,37.900000000000006,1
10,9.8,48.7,1
11,1.0,50.7,1
12,1.5,53.2,1
13,1.4000000000000001,55.6,1
14,4.6000000000000005,61.2,1
15,2.9000000000000004,65.10000000000001,0
16,1.1,67.2,0
17,4.6000000000000005,72.8,0
18,4.6000000000000005,78.39999999999999,1
19,1.1,80.49999999999999,1
20,2.2,83.69999999999999,1
21,4.0,88.69999999999999,0
22,2.5,92.19999999999999,0
23,1.6,94.79999999999998,0
24,1.1,96.89999999999998,0
25,1.4000000000000001,99.29999999999998,0
26,2.1,102.39999999999998,0
27,2.9000000000000004,106.29999999999998,1
28,2.2,109.49999999999999,1
29,2.5,112.99999999999999,1
30,1.3,115.29999999999998,1
31,2.6,118.89999999999998,1
32,1.0,120.89999999999998,1
33,10.8,132.7,0
34,1.1,134.79999999999998,0
35,2.9000000000000004,138.7,0
36,2.4000000000000004,142.1,1
37,7.0,150.1,1
38,1.8,152.9,0
39,1.2000000000000002,155.1,0
40,1.9000000000000001,158.0,0
41,1.6,160.6,0
42,1.1,162.7,0
43,2.5,166.2,0
44,2.8000000000000003,170.0,1
45,1.4000000000000001,172.4,1
46,2.8000000000000003,176.20000000000002,1
47,1.6,178.8,1
48,4.2,184.0,0
49,1.5,186.5,0
50,1.4000000000000001,188.9,0
51,7.2,197.1,1
52,1.7000000000000002,199.79999999999998,1
53,4.800000000000001,205.6,0
54,3.2,209.79999999999998,0
55,3.7,214.49999999999997,0
56,1.2000000000000002,216.69999999999996,1
57,1.2000000000000002,218.89999999999995,1
58,1.4000000000000001,221.29999999999995,1
59,1.0,223.29999999999995,1
